templateCode,fieldKey,fieldLabel,required,dataSourceKind,classification,recommendedPrefillKind,reason,currentSampleValue,controlType
BM-131,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-131,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-131,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-132,"agency.vienKiem","Viện kiểm sát",false,AGENCY,NEVER_AUTO,NONE,"Label ""Viện kiểm sát"" matches NEVER_AUTO pattern.",,TEXT
BM-132,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-132,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-133,"agency.vienKiem","Viện kiểm sát",false,AGENCY,NEVER_AUTO,NONE,"Label ""Viện kiểm sát"" matches NEVER_AUTO pattern.",,TEXT
BM-133,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-133,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-133,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-133,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-134,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-134,"signature.positionTitle","Chức danh",false,OFFICIAL,NEVER_AUTO,NONE,"Label ""Chức danh"" matches NEVER_AUTO pattern.",,TEXT
BM-134,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-134,"recipients.personLine","Người bị áp dụng",false,MANUAL,NEVER_AUTO,NONE,"Label ""Người bị áp dụng"" matches NEVER_AUTO pattern.",,TEXT
BM-134,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-134,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-134,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-134,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-134,"legalBasis.canCu","Căn cứ pháp lý",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""legalBasis.canCu"" is generic/common boilerplate safe for prefill.",,TEXT
BM-134,"document.tenVu","Tên vụ án / vụ việc",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tên vụ án / vụ việc"" matches NEVER_AUTO pattern.",,TEXT
BM-135,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-135,"signature.positionTitle","Chức danh",false,OFFICIAL,NEVER_AUTO,NONE,"Label ""Chức danh"" matches NEVER_AUTO pattern.",,TEXT
